Model,Best Direct/CoT,Best baseline acc.,Fusion acc.,Fusion minus baseline,Fusion parse cov.,Fusion SPACE cov.,Fusion false commit.
Phi-4-mini,CoT,0.4296,0.5192,0.0896,0.9928,0.9905,0.3271
Qwen2.5-7B,CoT,0.6079,0.5953,-0.0126,1.0,1.0,0.1146
